Ticker,Name,Sector
4118.T,カネカ,化学
4151.T,協和キリン,医薬品
417A.T,ブルーゾーンホールディングス,小売業
4182.T,三菱瓦斯化学,化学
4183.T,三井化学,化学
4186.T,東京応化工業,化学
4188.T,三菱ケミカルグループ,化学
4194.T,ビジョナル,情報・通信業
4202.T,ダイセル,化学
4203.T,住友ベークライト,化学
4204.T,積水化学工業,化学
4205.T,日本ゼオン,化学
4206.T,アイカ工業,化学
4208.T,ＵＢＥ,化学
4272.T,日本化薬,化学
4307.T,野村総合研究所,情報・通信業
4324.T,電通グループ,サービス業
4385.T,メルカリ,情報・通信業
4401.T,ＡＤＥＫＡ,化学
4403.T,日油,化学
4452.T,花王,化学
4502.T,武田薬品工業,医薬品
4503.T,アステラス製薬,医薬品
4506.T,住友ファーマ,医薬品
4507.T,塩野義製薬,医薬品
4516.T,日本新薬,医薬品
4519.T,中外製薬,医薬品
4523.T,エーザイ,医薬品
4527.T,ロート製薬,医薬品
4528.T,小野薬品工業,医薬品
4530.T,久光製薬,医薬品
4536.T,参天製薬,医薬品
4540.T,ツムラ,医薬品
4543.T,テルモ,精密機器
4544.T,Ｈ．Ｕ．グループホールディングス,サービス業
4568.T,第一三共,医薬品
4578.T,大塚ホールディングス,医薬品
4587.T,ペプチドリーム,医薬品
4612.T,日本ペイントホールディングス,化学
4613.T,関西ペイント,化学
4626.T,太陽ホールディングス,化学
4631.T,ＤＩＣ,化学
4661.T,オリエンタルランド,サービス業
4665.T,ダスキン,サービス業
4666.T,パーク２４,不動産業
4676.T,フジ・メディア・ホールディングス,情報・通信業
4680.T,ラウンドワン,サービス業
4681.T,リゾートトラスト,サービス業
4684.T,オービック,情報・通信業
4689.T,ＬＩＮＥヤフー,情報・通信業
4704.T,トレンドマイクロ,情報・通信業
4716.T,日本オラクル,情報・通信業
4732.T,ユー・エス・エス,サービス業
4733.T,オービックビジネスコンサルタント,情報・通信業
4751.T,サイバーエージェント,サービス業
4755.T,楽天グループ,サービス業
4768.T,大塚商会,情報・通信業
4887.T,サワイグループホールディングス,医薬品
4901.T,富士フイルムホールディングス,化学
4902.T,コニカミノルタ,電気機器
4911.T,資生堂,化学
4912.T,ライオン,化学
4922.T,コーセーホールディングス,化学
4927.T,ポーラ・オルビスホールディングス,化学
4967.T,小林製薬,化学
4980.T,デクセリアルズ,化学
5016.T,ＪＸ金属,非鉄金属
5019.T,出光興産,石油・石炭製品
5020.T,ＥＮＥＯＳホールディングス,石油・石炭製品
5021.T,コスモエネルギーホールディングス,石油・石炭製品
5076.T,インフロニア・ホールディングス,建設業
5101.T,横浜ゴム,ゴム製品
5105.T,ＴＯＹＯ　ＴＩＲＥ,ゴム製品
5108.T,ブリヂストン,ゴム製品
5110.T,住友ゴム工業,ゴム製品
5201.T,ＡＧＣ,ガラス・土石製品
5214.T,日本電気硝子,ガラス・土石製品
5232.T,住友大阪セメント,ガラス・土石製品
5233.T,太平洋セメント,ガラス・土石製品
5301.T,東海カーボン,ガラス・土石製品
5332.T,ＴＯＴＯ,ガラス・土石製品
5333.T,日本碍子,ガラス・土石製品
5334.T,日本特殊陶業,ガラス・土石製品
5344.T,ＭＡＲＵＷＡ,ガラス・土石製品
5393.T,ニチアス,ガラス・土石製品
5401.T,日本製鉄,鉄鋼
5406.T,神戸製鋼所,鉄鋼
5411.T,ＪＦＥホールディングス,鉄鋼
5444.T,大和工業,鉄鋼
5463.T,丸一鋼管,鉄鋼
5471.T,大同特殊鋼,鉄鋼
5631.T,日本製鋼所,機械
5706.T,三井金属,非鉄金属
5711.T,三菱マテリアル,非鉄金属
5713.T,住友金属鉱山,非鉄金属
5714.T,ＤＯＷＡホールディングス,非鉄金属
5801.T,古河電気工業,非鉄金属
5802.T,住友電気工業,非鉄金属
5803.T,フジクラ,非鉄金属
5830.T,いよぎんホールディングス,銀行業
5831.T,しずおかフィナンシャルグループ,銀行業
5832.T,ちゅうぎんフィナンシャルグループ,銀行業
5838.T,楽天銀行,銀行業
5844.T,京都フィナンシャルグループ,銀行業
5901.T,東洋製罐グループホールディングス,金属製品
5929.T,三和ホールディングス,金属製品
5938.T,ＬＩＸＩＬ,金属製品
5947.T,リンナイ,金属製品
5991.T,日本発條,金属製品
6005.T,三浦工業,機械
6098.T,リクルートホールディングス,サービス業
6113.T,アマダ,機械
6134.T,ＦＵＪＩ,機械
6136.T,オーエスジー,機械
6141.T,ＤＭＧ森精機,機械
6146.T,ディスコ,機械
6178.T,日本郵政,サービス業
6201.T,豊田自動織機,輸送用機器
6268.T,ナブテスコ,機械
6269.T,三井海洋開発,機械
6273.T,ＳＭＣ,機械
6301.T,小松製作所,機械
6302.T,住友重機械工業,機械
6305.T,日立建機,機械
6323.T,ローツェ,機械
6326.T,クボタ,機械
6361.T,荏原製作所,機械
6367.T,ダイキン工業,機械
6368.T,オルガノ,機械
6370.T,栗田工業,機械
6383.T,ダイフク,機械
6417.T,ＳＡＮＫＹＯ,機械
6436.T,アマノ,機械
6448.T,ブラザー工業,電気機器
6457.T,グローリー,機械
6460.T,セガサミーホールディングス,機械
6465.T,ホシザキ,機械
6471.T,日本精工,機械
6472.T,ＮＴＮ,機械
6473.T,ジェイテクト,機械
6479.T,ミネベアミツミ,電気機器
6481.T,ＴＨＫ,機械
6501.T,日立製作所,電気機器
6503.T,三菱電機,電気機器
6504.T,富士電機,電気機器
6506.T,安川電機,電気機器
6525.T,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器
6526.T,ソシオネクスト,電気機器
6532.T,ベイカレント,サービス業
6544.T,ジャパンエレベーターサービスホールディングス,サービス業
6586.T,マキタ,機械
6592.T,マブチモーター,電気機器
6632.T,ＪＶＣケンウッド,電気機器
6645.T,オムロン,電気機器
6674.T,ジーエス・ユアサ　コーポレーション,電気機器
6701.T,日本電気,電気機器
6702.T,富士通,電気機器
6707.T,サンケン電気,電気機器
6723.T,ルネサスエレクトロニクス,電気機器
6724.T,セイコーエプソン,電気機器
6728.T,アルバック,電気機器
6752.T,パナソニック　ホールディングス,電気機器
6753.T,シャープ,電気機器
6754.T,アンリツ,電気機器
6758.T,ソニーグループ,電気機器
6762.T,ＴＤＫ,電気機器
6770.T,アルプスアルパイン,電気機器
6806.T,ヒロセ電機,電気機器
6841.T,横河電機,電気機器
6845.T,アズビル,電気機器
6849.T,日本光電工業,電気機器
6856.T,堀場製作所,電気機器
6857.T,アドバンテスト,電気機器
6861.T,キーエンス,電気機器
6869.T,シスメックス,電気機器
6902.T,デンソー,輸送用機器
6920.T,レーザーテック,電気機器
6923.T,スタンレー電気,電気機器
6925.T,ウシオ電機,電気機器
6951.T,日本電子,電気機器
6952.T,カシオ計算機,電気機器
6954.T,ファナック,電気機器
6963.T,ローム,電気機器
6965.T,浜松ホトニクス,電気機器
6971.T,京セラ,電気機器
6976.T,太陽誘電,電気機器
6981.T,村田製作所,電気機器
6988.T,日東電工,化学
7003.T,三井Ｅ＆Ｓ,機械
7011.T,三菱重工業,機械
7012.T,川崎重工業,輸送用機器
7013.T,ＩＨＩ,機械
7164.T,全国保証,その他金融業
7167.T,めぶきフィナンシャルグループ,銀行業
7180.T,九州フィナンシャルグループ,銀行業
7181.T,かんぽ生命保険,保険業
7182.T,ゆうちょ銀行,銀行業
7186.T,横浜フィナンシャルグループ,銀行業
7189.T,西日本フィナンシャルホールディングス,銀行業
7201.T,日産自動車,輸送用機器
7202.T,いすゞ自動車,輸送用機器
7203.T,トヨタ自動車,輸送用機器
7211.T,三菱自動車工業,輸送用機器
7240.T,ＮＯＫ,輸送用機器
7259.T,アイシン,輸送用機器
7261.T,マツダ,輸送用機器
7267.T,本田技研工業,輸送用機器
7269.T,スズキ,輸送用機器
7270.T,ＳＵＢＡＲＵ,輸送用機器
7272.T,ヤマハ発動機,輸送用機器
7276.T,小糸製作所,電気機器
7282.T,豊田合成,輸送用機器
7309.T,シマノ,輸送用機器
7313.T,テイ・エス　テック,輸送用機器
7337.T,ひろぎんホールディングス,銀行業
7453.T,良品計画,小売業
7458.T,第一興商,卸売業
7459.T,メディパルホールディングス,卸売業
7476.T,アズワン,卸売業
7532.T,パン・パシフィック・インターナショナルホールディングス,小売業
7550.T,ゼンショーホールディングス,小売業
7616.T,コロワイド,小売業
7649.T,スギホールディングス,小売業
7701.T,島津製作所,精密機器
7729.T,東京精密,精密機器
7731.T,ニコン,精密機器
7733.T,オリンパス,精密機器
7735.T,ＳＣＲＥＥＮホールディングス,電気機器
7741.T,ＨＯＹＡ,精密機器
7747.T,朝日インテック,精密機器
7751.T,キヤノン,電気機器
7752.T,リコー,電気機器
7832.T,バンダイナムコホールディングス,その他製品
7846.T,パイロットコーポレーション,その他製品
7867.T,タカラトミー,その他製品
7911.T,ＴＯＰＰＡＮホールディングス,その他製品
7912.T,大日本印刷,その他製品
7936.T,アシックス,その他製品
7951.T,ヤマハ,その他製品
7956.T,ピジョン,その他製品
7974.T,任天堂,その他製品
7984.T,コクヨ,その他製品
7988.T,ニフコ,化学
8001.T,伊藤忠商事,卸売業
8002.T,丸紅,卸売業
8012.T,長瀬産業,卸売業
8015.T,豊田通商,卸売業
8020.T,兼松,卸売業
8031.T,三井物産,卸売業
8035.T,東京エレクトロン,電気機器
8053.T,住友商事,卸売業
8056.T,ＢＩＰＲＯＧＹ,情報・通信業
8058.T,三菱商事,卸売業
8060.T,キヤノンマーケティングジャパン,卸売業
8086.T,ニプロ,精密機器
8088.T,岩谷産業,卸売業
8111.T,ゴールドウイン,繊維製品
8113.T,ユニ・チャーム,化学
8129.T,東邦ホールディングス,卸売業
8136.T,サンリオ,卸売業
8174.T,日本瓦斯,小売業
8227.T,しまむら,小売業
8233.T,高島屋,小売業
8242.T,エイチ・ツー・オー　リテイリング,小売業
8252.T,丸井グループ,小売業
8253.T,クレディセゾン,その他金融業
8267.T,イオン,小売業
8282.T,ケーズホールディングス,小売業
8283.T,ＰＡＬＴＡＣ,卸売業
8303.T,ＳＢＩ新生銀行,銀行業
8304.T,あおぞら銀行,銀行業
8306.T,三菱ＵＦＪフィナンシャル・グループ,銀行業
8308.T,りそなホールディングス,銀行業
8309.T,三井住友トラストグループ,銀行業
8316.T,三井住友フィナンシャルグループ,銀行業
8331.T,千葉銀行,銀行業
8334.T,群馬銀行,銀行業
8341.T,七十七銀行,銀行業
8354.T,ふくおかフィナンシャルグループ,銀行業
8359.T,八十二長野銀行,銀行業
8377.T,ほくほくフィナンシャルグループ,銀行業
8410.T,セブン銀行,銀行業
8411.T,みずほフィナンシャルグループ,銀行業
8418.T,山口フィナンシャルグループ,銀行業
8424.T,芙蓉総合リース,その他金融業
8439.T,東京センチュリー,その他金融業
8473.T,ＳＢＩホールディングス,証券、商品先物取引業
8570.T,イオンフィナンシャルサービス,その他金融業
8572.T,アコム,その他金融業
8591.T,オリックス,その他金融業
8593.T,三菱ＨＣキャピタル,その他金融業
8595.T,ジャフコ　グループ,証券、商品先物取引業
8601.T,大和証券グループ本社,証券、商品先物取引業
8604.T,野村ホールディングス,証券、商品先物取引業
8630.T,ＳＯＭＰＯホールディングス,保険業
8697.T,日本取引所グループ,その他金融業
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業
8729.T,ソニーフィナンシャルグループ,保険業
8750.T,第一生命ホールディングス,保険業
8766.T,東京海上ホールディングス,保険業
8795.T,Ｔ＆Ｄホールディングス,保険業
8801.T,三井不動産,不動産業
8802.T,三菱地所,不動産業
8804.T,東京建物,不動産業
8830.T,住友不動産,不動産業
8876.T,リログループ,サービス業
9001.T,東武鉄道,陸運業
9003.T,相鉄ホールディングス,陸運業
9005.T,東急,陸運業
9006.T,京浜急行電鉄,陸運業
9007.T,小田急電鉄,陸運業
9008.T,京王電鉄,陸運業
9009.T,京成電鉄,陸運業
9020.T,東日本旅客鉄道,陸運業
9021.T,西日本旅客鉄道,陸運業
9022.T,東海旅客鉄道,陸運業
9023.T,東京地下鉄,陸運業
9024.T,西武ホールディングス,陸運業
9031.T,西日本鉄道,陸運業
9041.T,近鉄グループホールディングス,陸運業
9042.T,阪急阪神ホールディングス,陸運業
9044.T,南海電気鉄道,陸運業
9045.T,京阪ホールディングス,陸運業
9048.T,名古屋鉄道,陸運業
9064.T,ヤマトホールディングス,陸運業
9065.T,山九,陸運業
9069.T,センコーグループホールディングス,陸運業
9072.T,ニッコンホールディングス,陸運業
9076.T,セイノーホールディングス,陸運業
9101.T,日本郵船,海運業
9104.T,商船三井,海運業
9107.T,川崎汽船,海運業
9142.T,九州旅客鉄道,陸運業
9143.T,ＳＧホールディングス,陸運業
9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,陸運業
9201.T,日本航空,空運業
9202.T,ＡＮＡホールディングス,空運業
9301.T,三菱倉庫,倉庫・運輸関連業
9302.T,三井倉庫ホールディングス,倉庫・運輸関連業
9364.T,上組,倉庫・運輸関連業
9401.T,ＴＢＳホールディングス,情報・通信業
9404.T,日本テレビホールディングス,情報・通信業
9432.T,ＮＴＴ,情報・通信業
9433.T,ＫＤＤＩ,情報・通信業
9434.T,ソフトバンク,情報・通信業
9435.T,光通信,情報・通信業
9449.T,ＧＭＯインターネットグループ,情報・通信業
9468.T,ＫＡＤＯＫＡＷＡ,情報・通信業
9501.T,東京電力ホールディングス,電気・ガス業
9502.T,中部電力,電気・ガス業
9503.T,関西電力,電気・ガス業
9504.T,中国電力,電気・ガス業
9505.T,北陸電力,電気・ガス業
9506.T,東北電力,電気・ガス業
9507.T,四国電力,電気・ガス業
9508.T,九州電力,電気・ガス業
9509.T,北海道電力,電気・ガス業
9513.T,電源開発,電気・ガス業
9531.T,東京瓦斯,電気・ガス業
9532.T,大阪瓦斯,電気・ガス業
9533.T,東邦瓦斯,電気・ガス業
9602.T,東宝,情報・通信業
9616.T,共立メンテナンス,サービス業
9627.T,アインホールディングス,小売業
9684.T,スクウェア・エニックス・ホールディングス,情報・通信業
9697.T,カプコン,情報・通信業
9706.T,日本空港ビルデング,不動産業
9735.T,セコム,サービス業
9744.T,メイテックグループホールディングス,サービス業
9759.T,ＮＳＤ,情報・通信業
9766.T,コナミグループ,情報・通信業
9831.T,ヤマダホールディングス,小売業
9843.T,ニトリホールディングス,小売業
9861.T,吉野家ホールディングス,小売業
9934.T,因幡電機産業,卸売業
9962.T,ミスミグループ本社,卸売業
9983.T,ファーストリテイリング,小売業
9984.T,ソフトバンクグループ,情報・通信業
9987.T,スズケン,卸売業
9989.T,サンドラッグ,小売業
